2022;242;CRIANCA TEM;PRESENCA DE CRIANCA;86
2022;242;CRIANCA NAO TEM;PRESENCA DE CRIANCA;304
2022;357;1TV;QTD TVS;144
2022;357;2TV;QTD TVS;96
2022;357;15-34;IDADE DA DC;47
2022;357;35-49;IDADE DA DC;79
2022;357;50+;IDADE DA DC;114
2022;357;1-2 PESSOAS;TAMANHO DA FAMILIA;74
2022;357;3-4 PESSOAS;TAMANHO DA FAMILIA;123
2022;357;5+ PESSOAS;TAMANHO DA FAMILIA;43
2022;357;AB;NSE;61
2022;357;C1;NSE;45
2022;357;C2;NSE;57
2022;357;DE;NSE;77
2022;357;CRIANCA TEM;PRESENCA DE CRIANCA;91
2022;357;CRIANCA NAO TEM;PRESENCA DE CRIANCA;149
2022;359;1TV;QTD TVS;187
2022;359;2TV;QTD TVS;103
2022;359;15-34;IDADE DA DC;52
2022;359;35-49;IDADE DA DC;86
2022;359;50+;IDADE DA DC;152
2022;359;1-2 PESSOAS;TAMANHO DA FAMILIA;120
2022;359;3-4 PESSOAS;TAMANHO DA FAMILIA;134
2022;359;5+ PESSOAS;TAMANHO DA FAMILIA;36
2022;359;AB;NSE;66
2022;359;C1;NSE;52
2022;359;C2;NSE;84
2022;359;DE;NSE;88
2022;359;CRIANCA TEM;PRESENCA DE CRIANCA;85
2022;359;CRIANCA NAO TEM;PRESENCA DE CRIANCA;205
2022;360;1TV;QTD TVS;195
2022;360;2TV;QTD TVS;95
2022;360;15-34;IDADE DA DC;60
2022;360;35-49;IDADE DA DC;96
2022;360;50+;IDADE DA DC;134
2022;360;1-2 PESSOAS;TAMANHO DA FAMILIA;126
2022;360;3-4 PESSOAS;TAMANHO DA FAMILIA;134
2022;360;5+ PESSOAS;TAMANHO DA FAMILIA;30
2022;360;AB;NSE;78
2022;360;C1;NSE;50
2022;360;C2;NSE;75
2022;360;DE;NSE;87
2022;360;CRIANCA TEM;PRESENCA DE CRIANCA;99
2022;360;CRIANCA NAO TEM;PRESENCA DE CRIANCA;191
2022;465;1TV;QTD TVS;134
2022;465;2TV;QTD TVS;86
2022;465;15-34;IDADE DA DC;41
2022;465;35-49;IDADE DA DC;73
2022;465;50+;IDADE DA DC;106
2022;465;1-2 PESSOAS;TAMANHO DA FAMILIA;62
2022;465;3-4 PESSOAS;TAMANHO DA FAMILIA;113
2022;465;5+ PESSOAS;TAMANHO DA FAMILIA;45
2022;465;AB;NSE;42
2022;465;C1;NSE;30
2022;465;C2;NSE;52
2022;465;DE;NSE;96
2022;465;CRIANCA TEM;PRESENCA DE CRIANCA;82
2022;465;CRIANCA NAO TEM;PRESENCA DE CRIANCA;138
2022;466;1TV;QTD TVS;127
2022;466;2TV;QTD TVS;93
2022;466;15-34;IDADE DA DC;53
2022;466;35-49;IDADE DA DC;81
2022;466;50+;IDADE DA DC;86
2022;466;1-2 PESSOAS;TAMANHO DA FAMILIA;55
2022;466;3-4 PESSOAS;TAMANHO DA FAMILIA;111
2022;466;5+ PESSOAS;TAMANHO DA FAMILIA;54
2022;466;AB;NSE;48
2022;466;C1;NSE;41
2022;466;C2;NSE;67
2022;466;DE;NSE;64
2022;466;CRIANCA TEM;PRESENCA DE CRIANCA;92
2022;466;CRIANCA NAO TEM;PRESENCA DE CRIANCA;128
2022;985;1TV;QTD TVS;122
2022;985;2TV;QTD TVS;98
2022;985;15-34;IDADE DA DC;47
2022;985;35-49;IDADE DA DC;63
2022;985;50+;IDADE DA DC;110
2022;985;1-2 PESSOAS;TAMANHO DA FAMILIA;92
2022;985;3-4 PESSOAS;TAMANHO DA FAMILIA;100
2022;985;5+ PESSOAS;TAMANHO DA FAMILIA;28
2022;985;AB;NSE;69
2022;985;C1;NSE;44
2022;985;C2;NSE;60
2022;985;DE;NSE;47
2022;985;CRIANCA TEM;PRESENCA DE CRIANCA;69
2022;985;CRIANCA NAO TEM;PRESENCA DE CRIANCA;151
2022;1000;1TV;QTD TVS;3243
2022;1000;2TV;QTD TVS;2842
2022;1000;15-34;IDADE DA DC;1095
2022;1000;35-49;IDADE DA DC;1900
2022;1000;50+;IDADE DA DC;3090
2022;1000;1-2 PESSOAS;TAMANHO DA FAMILIA;2495
2022;1000;3-4 PESSOAS;TAMANHO DA FAMILIA;2792
2022;1000;5+ PESSOAS;TAMANHO DA FAMILIA;798
2022;1000;AB;NSE;2227
2022;1000;C1;NSE;1324
2022;1000;C2;NSE;1471
2022;1000;DE;NSE;1063
2022;1000;CRIANCA TEM;PRESENCA DE CRIANCA;1825
2022;1000;CRIANCA NAO TEM;PRESENCA DE CRIANCA;4260
2022;103;PAY TEM;TV PAGA;92
2022;103;PAY NAO TEM;TV PAGA;128
2022;106;PAY TEM;TV PAGA;42
2022;106;PAY NAO TEM;TV PAGA;178
2022;108;PAY TEM;TV PAGA;130
2022;108;PAY NAO TEM;TV PAGA;260
2022;109;PAY TEM;TV PAGA;422
2022;109;PAY NAO TEM;TV PAGA;498
2022;110;PAY TEM;TV PAGA;566
2022;110;PAY NAO TEM;TV PAGA;1034
2022;133;PAY TEM;TV PAGA;121
2022;133;PAY NAO TEM;TV PAGA;179
2022;240;PAY TEM;TV PAGA;83
2022;240;PAY NAO TEM;TV PAGA;217
2022;241;PAY TEM;TV PAGA;105
2022;241;PAY NAO TEM;TV PAGA;160
2022;242;PAY TEM;TV PAGA;135
2022;242;PAY NAO TEM;TV PAGA;255
2022;357;PAY TEM;TV PAGA;34
2022;357;PAY NAO TEM;TV PAGA;206
2022;359;PAY TEM;TV PAGA;36
2022;359;PAY NAO TEM;TV PAGA;254
2022;360;PAY TEM;TV PAGA;53
2022;360;PAY NAO TEM;TV PAGA;237
2022;465;PAY TEM;TV PAGA;33
2022;465;PAY NAO TEM;TV PAGA;187
2022;466;PAY TEM;TV PAGA;55
2022;466;PAY NAO TEM;TV PAGA;165
2022;985;PAY TEM;TV PAGA;58
2022;985;PAY NAO TEM;TV PAGA;162
2022;1000;PAY TEM;TV PAGA;1965
2022;1000;PAY NAO TEM;TV PAGA;4120
